teams,conf,adj_off,adj_def,adj_tempo,poss_off,poss_def,fg_off,fg_def,turnover_off,turnover_def,reb_off,reb_def,three_off,three_def,experience,height,wins_five,wins_last
UNC Greensboro,SC,100.8,94.7,68.3,16.7,16.8,47.6,46.7,17.0,21.9,32.8,26.8,28.8,29.9,1.72,77.2,4,1
Wake Forest,ACC,104.4,98.4,67.9,18.6,16.3,51.0,52.0,20.5,19.1,27.7,23.9,35.8,35.2,1.7,77.5,3,1
Pepperdine,WCC,106.0,100.1,71.0,15.6,17.4,49.8,50.8,17.4,18.1,23.0,26.8,32.1,28.9,1.94,76.8,3,1
UC Riverside,BW,101.3,95.5,66.9,19.4,16.6,53.8,42.6,18.8,16.6,27.7,23.5,39.5,30.0,2.0,78.7,4,1
Boston College,ACC,105.9,100.2,70.7,16.6,16.8,50.3,54.2,18.7,18.9,24.1,28.6,33.0,33.5,1.8,76.8,1,0
DePaul,BE,101.2,95.6,70.9,15.8,18.0,47.2,48.6,21.7,20.6,32.7,29.5,31.6,30.1,1.91,76.8,1,0
Bradley,MVC,102.3,96.9,66.5,16.9,18.9,49.9,48.4,19.6,18.7,29.1,26.6,31.9,37.0,1.62,77.3,2,1
Pacific,WCC,102.2,96.8,66.6,18.9,16.3,45.4,51.4,16.8,19.8,28.7,24.1,30.3,35.0,2.26,77.0,1,1
Oregon St.,P12,106.3,101.0,65.3,18.6,17.3,46.8,49.8,16.6,17.7,28.5,29.9,34.6,31.4,2.0,78.3,2,0
Miami FL,ACC,102.4,97.2,67.9,18.2,16.6,48.1,51.0,19.6,18.6,27.2,26.1,29.4,36.9,1.56,78.6,1,0
Loyola Marymount,WCC,102.2,97.1,67.8,17.7,17.1,49.7,47.9,24.0,18.5,32.8,20.3,31.8,34.4,1.8,78.3,2,1
Nebraska,B10,101.4,96.4,71.7,14.8,17.9,45.5,49.3,19.0,19.2,26.4,29.2,30.6,31.4,1.97,78.3,0,0
Missouri St.,MVC,105.0,99.9,69.1,17.3,17.2,52.5,47.5,18.0,15.0,22.7,23.6,31.9,33.8,1.64,77.5,3,1
UC Irvine,BW,100.7,95.7,66.9,18.3,17.3,46.5,46.7,20.3,19.2,32.4,25.1,32.4,34.3,0.99,77.5,2,0
Grand Canyon,WAC,104.8,99.8,64.3,18.3,17.3,54.5,45.9,20.8,17.2,31.9,21.8,31.0,31.3,2.13,77.4,5,1
Texas A&M,SEC,101.0,96.1,64.1,17.8,18.4,47.9,52.3,23.4,23.5,32.0,29.8,30.2,33.3,1.57,77.4,2,1
Eastern Washington,BSky,107.4,103.0,72.8,15.4,17.8,53.6,49.0,17.0,16.4,24.1,26.5,35.3,34.4,1.65,77.2,5,1
Indiana St.,MVC,102.7,98.5,67.1,17.7,17.4,48.4,51.4,19.5,22.3,26.1,29.7,34.6,32.3,1.8,76.7,4,0
Vanderbilt,SEC,107.2,103.2,68.5,17.7,16.3,51.3,53.7,20.1,19.3,30.6,27.1,34.8,35.9,1.41,77.1,1,0
Wofford,SC,106.3,102.8,66.3,17.9,17.3,55.0,52.2,19.6,18.8,27.1,29.5,36.0,35.0,1.47,75.5,3,0
East Carolina,Amer,101.0,97.8,68.3,17.5,17.2,46.0,48.0,19.3,21.1,27.6,28.2,30.5,31.2,2.0,77.7,1,0
East Tennessee St.,SC,103.0,100.0,65.7,17.9,17.2,50.7,50.7,20.6,20.1,31.7,26.8,35.1,34.4,1.94,77.2,2,0
Temple,Amer,101.1,98.2,68.7,17.4,17.5,44.9,48.6,19.1,16.7,26.0,26.2,31.0,34.9,1.56,77.6,1,0
George Mason,A10,100.8,98.3,68.0,16.9,17.7,48.9,49.9,18.4,19.4,29.5,24.3,32.9,35.3,1.61,76.1,3,1
Iowa St.,B12,103.4,100.9,70.4,16.7,16.8,49.3,52.1,20.6,18.9,23.1,35.9,32.9,32.4,1.83,76.3,0,0
Morehead St.,OVC,99.6,97.2,65.7,18.3,17.0,51.8,47.5,23.9,19.2,32.0,24.9,33.1,30.3,1.69,77.3,5,1
Murray St.,OVC,103.5,101.2,66.6,17.4,17.7,54.7,49.2,20.5,20.0,27.1,26.7,36.0,30.1,1.51,76.8,3,1
Siena,MAAC,101.9,99.7,65.7,19.2,17.2,51.5,45.6,18.0,17.5,26.4,25.7,36.3,33.7,1.83,76.4,3,1
California,P12,104.4,102.3,65.3,18.7,17.1,50.7,54.0,19.8,18.1,23.5,25.3,33.8,39.7,2.0,77.4,0,0
Santa Clara,WCC,97.7,95.6,70.0,15.3,18.4,44.4,43.8,18.5,17.0,23.0,24.9,28.0,30.6,1.98,79.1,3,1
Bowling Green,MAC,106.2,104.2,70.3,16.0,17.0,48.0,52.2,14.1,19.1,29.3,29.7,32.2,35.3,1.82,76.3,0,0
Cal St. Bakersfield,BW,103.0,101.0,65.0,18.9,17.2,46.7,49.2,19.5,20.5,38.9,25.3,32.6,33.6,2.7,77.0,3,1
Princeton,Ivy,104.8,102.9,66.7,0.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0,0
Georgia St.,SB,104.4,102.8,70.1,15.6,18.1,50.3,48.7,17.5,19.7,31.1,34.8,31.1,33.2,1.68,76.4,2,1
Tulane,Amer,98.0,96.7,66.2,17.7,18.1,43.1,47.9,17.0,22.5,25.3,29.0,28.9,34.0,1.04,76.4,2,0
South Dakota,Sum,104.2,102.8,68.4,17.6,16.6,51.6,47.8,15.6,15.7,21.2,23.3,36.7,33.1,1.66,76.5,4,0
Northeastern,CAA,99.6,98.3,67.4,18.1,16.4,52.7,48.4,20.3,17.1,18.1,24.0,35.8,30.8,1.12,77.6,4,0
UNLV,MWC,105.9,104.7,66.5,18.1,17.4,50.9,53.6,19.4,18.4,26.9,25.5,35.1,39.4,1.48,77.5,2,0
Ball St.,MAC,100.6,99.7,70.4,16.8,16.7,49.3,48.1,19.4,18.1,25.5,29.9,33.4,29.9,1.89,76.8,1,1
Texas St.,SB,100.8,99.9,62.6,19.8,17.5,52.2,50.7,20.0,23.9,28.6,27.4,38.9,35.5,2.38,75.7,3,1
Drexel,CAA,104.1,103.2,64.6,19.0,16.7,52.9,49.3,19.3,18.2,28.3,23.9,33.2,31.1,1.83,77.1,2,0
New Mexico St.,WAC,104.0,103.2,66.6,19.3,17.0,48.8,53.8,16.7,15.0,31.2,24.7,28.8,37.2,2.44,76.3,1,0
Detroit,Horz,108.0,107.2,67.4,17.7,17.1,54.1,54.6,16.9,18.8,26.9,28.9,39.0,37.5,2.43,77.6,5,1
Mercer,SC,106.1,105.4,68.8,16.9,17.0,54.7,50.6,18.1,17.5,27.3,27.9,36.5,31.8,1.94,77.2,2,1
UTEP,CUSA,101.9,101.3,67.1,17.2,18.1,47.3,50.6,16.2,18.3,24.2,25.9,33.4,35.7,1.92,77.8,2,1
North Dakota St.,Sum,100.6,99.9,63.9,19.3,16.7,49.5,48.2,19.5,13.7,28.0,20.4,32.4,32.4,1.46,78.1,3,0
Harvard,Ivy,102.7,102.1,68.1,0.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0,0
Northern Iowa,MVC,104.0,103.5,69.4,17.2,17.6,50.1,52.9,19.6,15.3,25.4,22.5,33.7,36.3,1.36,76.8,2,0
Old Dominion,CUSA,102.1,101.5,67.3,17.8,17.1,47.7,53.5,18.5,19.1,30.1,25.6,27.8,37.7,2.29,76.9,3,1
Chattanooga,SC,104.8,104.3,67.3,17.9,16.6,51.5,53.2,15.7,19.4,22.0,24.9,36.5,35.1,1.98,77.1,4,1
Cleveland St.,Horz,99.8,99.4,66.8,17.7,17.2,50.4,48.2,19.9,20.9,30.7,32.7,32.2,30.2,2.07,76.9,4,0
Stephen F. Austin,Slnd,103.9,103.5,70.7,16.5,16.3,55.9,52.9,24.1,24.4,37.5,27.1,33.3,36.7,2.4,76.8,4,1
Hofstra,CAA,106.1,105.7,67.8,17.0,18.0,50.2,51.5,17.7,18.0,30.1,27.7,31.9,33.5,1.69,76.7,4,1
Washington,P12,103.9,103.6,70.5,16.5,17.7,48.3,50.8,19.6,17.1,24.4,38.3,32.4,34.3,1.92,77.9,1,0
Navy,Pat,103.2,103.1,65.6,18.5,16.8,49.7,52.5,17.4,21.1,31.5,23.8,33.3,32.9,1.69,76.0,4,1
UMBC,AE,99.7,100.0,67.7,16.4,18.1,50.3,45.1,19.6,18.3,25.9,25.7,33.4,32.0,2.5,75.7,4,1
Weber St.,BSky,104.0,104.4,72.0,15.8,17.2,55.7,49.5,17.8,19.0,22.5,26.1,37.1,35.5,2.07,77.5,4,0
Saint Peter's,MAAC,95.3,95.7,67.3,17.6,16.8,46.9,44.6,21.8,21.8,29.7,29.6,35.5,34.4,1.28,76.0,3,1
Coastal Carolina,SB,102.4,102.8,70.6,17.1,16.6,51.3,47.8,22.4,18.2,36.5,27.9,37.1,33.3,1.68,76.5,2,0
Miami OH,MAC,106.3,106.8,65.6,18.4,16.8,50.8,52.6,15.8,17.7,26.2,29.9,35.5,35.0,1.93,75.0,1,0
Montana,BSky,98.5,99.1,64.7,18.7,17.6,48.7,47.1,20.3,18.4,23.0,31.2,37.6,29.9,1.04,77.1,3,1
Rice,CUSA,104.8,105.4,70.4,16.9,16.8,53.8,51.0,20.1,17.5,27.9,26.5,37.5,34.4,1.34,77.1,2,0
Monmouth,MAAC,102.5,103.1,75.0,14.7,17.4,50.2,47.0,18.0,20.2,26.3,27.7,38.5,30.2,2.05,76.0,4,1
James Madison,CAA,102.3,103.0,71.3,16.1,17.3,50.1,47.9,17.3,21.4,27.4,28.6,33.5,29.8,1.36,76.3,5,1
La Salle,A10,103.3,104.2,68.4,17.0,17.5,51.0,51.7,20.9,20.5,26.0,30.1,35.9,32.1,1.33,76.7,1,0
UTSA,CUSA,105.6,106.7,71.5,16.5,16.7,48.4,52.3,15.9,18.6,26.9,26.8,31.9,36.0,1.91,76.7,4,1
Army,Pat,99.2,100.5,68.6,16.8,16.8,53.0,51.1,18.4,20.5,22.9,25.5,33.0,34.0,1.99,75.1,3,1
Eastern Kentucky,OVC,99.4,100.7,75.3,15.2,16.2,49.8,50.9,16.8,24.9,28.6,31.1,33.9,33.5,1.3,76.0,2,0
Bellarmine,ASun,105.4,106.8,64.4,18.0,18.5,54.7,54.1,17.7,22.4,27.1,26.8,36.5,37.5,2.04,76.8,5,1
Oral Roberts,Sum,107.7,109.2,70.2,16.2,17.2,51.8,50.9,16.5,17.7,26.3,32.5,37.7,33.4,1.62,76.5,3,1
Sam Houston St.,Slnd,100.8,102.5,71.1,16.2,16.2,49.3,49.2,21.1,22.2,30.3,34.7,35.7,30.1,1.85,75.1,4,1
