home,away,home_score,away_score,home_off,home_def,home_tempo,home_luck,away_off,away_def,away_tempo,away_luck,date
Texas,Texas Tech,57,62,104.1,92.6,65.9,0.089,109.8,90.5,67.3,-0.113,2/8/2020
Bowling Green,Toledo,85,83,104.3,104,70.1,0.142,106.3,105.1,68.1,-0.057,2/8/2020
Drexel,Towson,69,76,100,106.7,67.3,0.002,105.7,104.8,65.1,0.014,2/8/2020
Mississippi St.,Vanderbilt,80,70,113.4,99.8,66.2,-0.001,104.7,104.5,69.4,-0.061,2/8/2020
Hartford,Vermont,68,69,94.4,101.1,68.2,0.048,106.5,96.4,66.3,-0.027,2/8/2020
The Citadel,VMI,64,75,94.9,112.2,73.7,0.02,100.2,108.1,67.9,-0.143,2/8/2020
Syracuse,Wake Forest,75,73,112.8,99.6,68.3,-0.06,108.7,102,70.1,-0.034,2/8/2020
UNC Wilmington,William & Mary,70,64,92.1,104.5,68.5,0.019,103.3,105.5,67.5,0.132,2/8/2020
Longwood,Winthrop,68,70,91.3,105.1,67.8,-0.001,104.7,102.1,71.9,-0.044,2/8/2020
New Mexico,Wyoming,97,68,105.3,102.4,71.8,0.044,94.1,100.9,66.7,-0.017,2/8/2020
Marquette,Butler,76,57,114,96.9,70.7,-0.046,112.6,94.2,63.7,0.032,2/9/2020
Houston,Wichita St.,76,43,112.7,92.3,65.7,-0.052,105.6,90.4,69.5,0.041,2/9/2020
UConn,Cincinnati,72,71,112.7,92.3,65.7,-0.052,108.8,94.7,68,-0.013,2/9/2020
Bradley,Evansville,69,58,106.8,100.7,67.1,0.036,96.9,107.4,67.6,0.015,2/9/2020
UMass,George Mason,69,67,106.8,100.7,67.1,0.036,101.3,101.3,67,0.056,2/9/2020
Fairfield,Iona,54,78,90.1,101.6,63.2,0.045,101.6,106.1,68.7,-0.077,2/9/2020
Quinnipiac,Manhattan,63,65,100.7,108.3,68.9,0.028,92.8,101.6,65.8,-0.011,2/9/2020
Rider,Niagara,73,58,100.9,102.1,71.1,0.036,100.1,111.6,66,0.068,2/9/2020
Rutgers,Northwestern,77,73,107.9,90.2,67.4,-0.042,104.9,101.3,66.7,-0.087,2/9/2020
Clemson,Notre Dame,57,61,103.9,93.5,66,-0.043,110.7,98.6,68.1,-0.021,2/9/2020
Wisconsin,Ohio St.,70,57,110.8,91.9,63.7,0.031,114.3,92,66.2,-0.038,2/9/2020
Cornell,Penn,73,79,101.2,110.3,65.2,-0.105,103.4,100.8,70.2,0.025,2/9/2020
Columbia,Princeton,74,81,95.2,106.5,69.1,-0.13,107,105.5,66.3,-0.025,2/9/2020
