teams,conf,adj_off,adj_def,adj_tempo,poss_off,poss_def,fg_off,fg_def,turnover_off,turnover_def,reb_off,reb_def,three_off,three_def,experience,height,wins_five,wins_last
Stanford,P12,104.8,93.1,69.5,16.8,17.7,51.4,48.3,21.0,20.3,25.1,28.7,32.2,33.6,1.34,78.8,0,0
Colgate,Pat,111.6,99.9,72.5,15.9,17.2,57.0,45.6,13.7,16.6,28.2,25.4,40.0,26.1,1.83,76.5,0,0
Oregon St.,P12,110.0,98.4,65.4,18.9,17.6,48.7,50.4,17.2,18.5,29.8,29.4,34.6,31.4,2.08,78.2,0,0
Abilene Christian,Slnd,103.7,92.2,70.0,16.7,16.6,52.9,45.4,19.4,26.7,30.6,27.9,37.7,29.1,2.29,75.1,0,0
Nevada,MWC,109.7,98.8,70.1,16.7,17.4,51.3,48.4,18.4,17.8,24.3,24.3,35.5,33.6,1.01,78.2,0,0
Missouri St.,MVC,108.2,97.3,69.4,17.5,17.6,54.2,47.5,18.2,14.2,23.8,22.2,35.0,33.0,1.68,77.5,0,0
Pittsburgh,ACC,108.8,98.2,68.6,17.5,17.4,48.8,50.0,18.3,17.5,34.5,26.1,33.9,32.2,1.27,77.6,0,0
Marshall,CUSA,110.0,99.5,72.9,14.8,17.8,54.8,49.9,16.3,19.8,23.8,28.3,36.0,35.9,1.94,77.2,0,0
Winthrop,BSth,105.8,95.4,73.6,14.9,18.0,53.0,48.9,19.5,22.5,35.7,22.1,35.3,32.4,1.94,76.7,0,0
Furman,SC,110.5,100.1,67.9,16.6,17.4,56.7,51.5,17.9,20.5,27.1,27.4,34.8,34.3,1.94,76.5,0,0
Georgia,SEC,108.5,98.4,73.5,15.6,16.2,50.7,52.5,21.5,21.6,32.8,32.3,32.3,34.2,1.83,75.8,0,0
Western Kentucky,CUSA,106.4,96.3,67.9,17.6,16.7,51.0,48.9,21.2,19.0,32.1,24.5,34.5,35.8,2.14,76.3,0,0
Nebraska,B10,102.9,92.8,72.1,15.5,17.4,48.2,49.8,19.6,18.1,23.1,28.9,33.2,31.3,1.99,78.3,0,0
Vanderbilt,SEC,109.6,99.6,69.0,18.2,16.0,51.2,52.1,19.9,19.8,28.3,28.6,34.9,33.8,1.49,76.9,0,0
Liberty,ASun,110.8,101.0,63.1,19.5,17.7,57.4,48.0,15.6,17.3,23.2,22.4,38.8,32.2,1.8,75.8,0,0
UAB,CUSA,104.1,94.3,67.3,17.3,17.9,48.6,47.0,15.6,22.8,29.0,25.4,31.1,32.4,2.33,77.0,0,0
Akron,MAC,109.5,99.8,68.8,16.9,17.4,51.5,48.6,17.0,16.4,30.1,28.8,33.4,31.6,1.9,75.5,0,0
UNC Greensboro,SC,104.8,95.2,68.5,16.5,17.4,48.2,48.1,15.5,21.0,32.4,25.9,30.0,31.9,1.74,77.0,0,0
San Francisco,WCC,107.1,97.6,68.0,17.7,16.8,51.2,49.8,16.9,19.8,24.8,24.7,34.0,32.6,1.99,77.8,0,0
Loyola Marymount,WCC,108.0,98.5,66.3,18.5,17.0,51.7,50.8,23.4,17.4,32.5,20.7,33.8,34.5,1.88,78.5,0,0
UCF,Amer,106.6,97.2,67.5,17.8,17.4,50.1,49.3,21.6,19.5,28.2,31.5,35.5,32.7,1.55,77.7,0,0
Belmont,OVC,110.2,101.0,71.1,15.7,17.5,56.3,49.3,16.6,20.4,26.4,27.2,34.7,34.0,1.38,77.0,0,0
Rhode Island,A10,105.6,96.4,69.3,16.9,17.2,49.2,47.8,19.7,17.5,30.0,26.6,31.2,33.0,1.9,76.4,0,0
Kent St.,MAC,106.7,97.9,70.0,17.4,16.6,50.9,49.6,19.3,17.6,34.2,28.6,33.5,35.3,2.09,77.5,0,0
Washington St.,P12,101.1,92.4,67.9,18.2,16.7,47.9,46.6,21.6,18.5,30.7,26.0,34.1,31.3,1.05,78.8,0,0
Grand Canyon,WAC,104.3,95.8,65.5,18.2,17.4,53.0,44.9,20.4,16.6,32.4,22.6,32.2,29.9,2.17,77.4,0,0
UC Irvine,BW,101.2,93.1,67.7,18.0,17.2,47.3,45.6,19.0,18.2,31.7,24.7,32.9,32.9,0.99,77.4,0,0
Eastern Washington,BSky,108.4,100.3,72.4,15.9,17.9,54.1,47.5,16.5,16.5,23.9,25.6,35.9,31.6,1.64,77.2,0,0
UC Riverside,BW,103.5,95.4,67.0,19.1,16.8,52.5,45.8,17.8,16.4,26.2,23.7,37.1,31.8,1.99,78.7,0,0
Pepperdine,WCC,107.9,100.0,71.4,15.5,17.7,50.5,50.2,17.9,17.7,23.1,27.8,32.5,27.9,1.94,76.7,0,0
Arizona St.,P12,107.2,99.5,72.8,16.1,17.1,49.2,52.5,15.0,20.7,21.3,30.1,33.3,36.2,2.03,76.3,0,0
Massachusetts,A10,106.4,98.8,72.0,16.5,16.6,50.0,50.9,16.4,19.9,24.3,25.6,32.6,33.8,1.02,76.8,0,0
Butler,BE,103.5,96.1,64.9,19.5,17.3,47.5,53.0,17.3,18.6,26.0,25.2,32.3,35.0,1.74,76.6,0,0
Cincinnati,Amer,104.0,96.8,71.0,16.7,17.0,48.4,49.6,20.5,18.6,29.1,26.1,31.1,33.6,1.45,77.3,0,0
South Dakota St.,Sum,111.3,104.2,71.2,15.9,17.4,56.5,51.2,17.3,15.3,24.0,21.1,40.9,35.5,1.6,77.2,0,0
Indiana St.,MVC,103.3,96.2,67.2,17.7,18.2,48.9,51.5,18.3,21.7,25.2,27.7,33.8,33.1,1.76,76.7,0,0
Duquesne,A10,102.6,95.7,69.2,17.5,17.7,47.6,47.3,19.5,19.6,31.0,30.1,29.9,28.4,1.67,76.3,0,0
Yale,Ivy,107.8,101.0,68.1,0.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0,0
Bowling Green,MAC,107.9,101.3,70.4,16.0,17.1,48.1,51.5,13.7,19.1,30.4,29.2,31.8,34.1,1.79,76.2,0,0
South Carolina,SEC,104.4,98.0,74.9,15.2,16.7,46.7,53.2,19.8,22.0,32.2,31.3,30.5,36.8,1.63,77.5,0,0
Pacific,WCC,103.8,97.5,67.3,18.2,17.1,47.8,51.6,16.6,18.4,27.4,23.7,29.7,35.3,2.23,76.8,0,0
Wofford,SC,107.0,101.0,66.2,18.1,17.4,54.9,52.0,18.9,18.6,25.5,28.0,35.6,34.5,1.45,75.5,0,0
Tulsa,Amer,102.9,96.9,65.8,17.7,18.0,49.0,48.5,20.0,21.7,26.5,32.1,30.0,34.1,2.3,77.1,0,0
East Tennessee St.,SC,103.8,98.1,65.7,18.1,17.5,50.3,50.4,20.3,19.8,30.5,26.5,34.9,34.4,1.96,77.2,0,0
Weber St.,BSky,107.7,102.3,72.2,15.9,17.7,56.4,49.9,17.2,18.9,22.4,24.5,36.6,35.2,2.02,77.5,0,0
Morehead St.,OVC,100.9,95.5,65.6,18.2,17.2,51.9,46.9,22.9,17.9,31.2,25.0,34.4,30.7,1.7,77.3,0,0
Mercer,SC,106.9,101.7,68.0,17.4,17.0,54.3,50.2,18.0,16.8,26.1,26.0,36.6,31.4,1.87,77.0,0,0
Vermont,AE,106.2,101.1,66.7,17.9,17.9,53.3,47.0,18.1,19.0,26.6,23.2,34.4,31.2,2.48,76.4,0,0
George Mason,A10,102.0,97.0,68.4,16.8,17.8,48.7,50.3,17.7,19.3,30.3,22.9,32.7,35.7,1.56,76.1,0,0
Miami FL,ACC,102.8,97.9,68.1,18.3,16.8,47.4,52.5,18.4,17.9,27.0,26.3,29.5,37.8,1.8,78.6,0,0
DePaul,BE,98.4,93.5,70.9,15.8,18.0,46.1,48.0,22.1,20.1,31.8,31.5,31.5,30.9,1.87,76.9,0,0
Texas A&M,SEC,102.4,98.1,64.6,17.7,18.5,47.6,53.1,22.3,22.9,32.8,30.2,29.9,34.1,1.6,77.5,0,0
UTEP,CUSA,103.9,99.7,68.2,17.5,17.7,47.5,49.7,16.1,19.0,24.7,25.5,32.8,34.6,1.93,77.7,0,0
California,P12,104.0,100.0,65.1,19.0,17.3,49.4,53.0,19.3,17.6,24.3,25.1,32.9,37.9,1.96,77.5,0,0
Ball St.,MAC,104.2,100.3,71.0,16.6,16.6,51.3,48.9,19.8,17.2,27.8,30.5,34.2,31.0,1.93,76.8,0,0
TCU,B12,105.0,101.1,66.9,18.3,17.0,49.9,50.8,21.0,17.0,29.0,29.2,33.8,33.5,1.15,77.8,0,0
Temple,Amer,101.9,98.1,69.0,17.4,17.7,46.7,47.3,19.5,16.0,25.9,28.1,34.2,34.3,1.55,77.6,0,0
Bradley,MVC,104.1,100.6,66.2,17.1,19.1,49.9,51.1,18.9,17.9,28.0,26.2,31.4,38.1,1.44,77.3,0,0
Southern Utah,BSky,108.6,105.1,70.2,17.0,16.9,52.4,51.7,16.0,17.0,29.2,23.9,33.4,35.8,2.43,76.7,0,0
