away_x,away_y,bet,date,draft_kings,home,home_cover,lasso,linear,percent_chance,predict_kp,rf,score
Western Kentucky,Western Kentucky,Western Kentucky,2021-01-24,-10.0,Middle Tennessee,0.0,-12.0,-11.0,0.8648,-11,-11.0,-16.0
Valparaiso,Valparaiso,Valparaiso,2021-01-24,1.0,Illinois St.,0.0,-1.0,-6.0,0.8486,1,-9.0,-4.0
Lehigh,Lehigh,Lehigh,2021-01-24,1.0,Holy Cross,0.0,-1.0,-2.0,0.743,-1,-2.0,-8.0
Army,Army,Navy,2021-01-24,2.5,Navy,1.0,5.0,5.0,0.7390000000000001,4,12.0,-9.0
Notre Dame,Notre Dame,Miami FL,2021-01-24,3.5,Miami FL,1.0,2.0,2.0,0.6919,2,2.0,-14.0
Delaware,Delaware,UNC Wilmington,2021-01-24,4.5,UNC Wilmington,1.0,4.0,1.0,0.6759999999999999,5,8.0,-5.0
James Madison,James Madison,Northeastern,2021-01-24,5.5,Northeastern,1.0,11.0,10.0,0.6755,8,8.0,-7.0
Utah,Utah,Washington,2021-01-24,-5.0,Washington,1.0,-6.0,-9.0,0.6675,-4,5.0,4.0
Albany,Albany,Albany,2021-01-24,2.0,New Hampshire,0.0,6.0,8.0,0.6361,3,2.0,-19.0
Presbyterian,Presbyterian,Presbyterian,2021-01-24,5.0,High Point,0.0,8.0,9.0,0.6074,7,15.0,24.0
Memphis,Memphis,East Carolina,2021-01-24,-6.0,East Carolina,1.0,-7.0,-8.0,0.5791,-5,-2.0,-27.0
UMKC,UMKC,UMKC,2021-01-24,6.0,Oral Roberts,0.0,5.0,3.0,0.5782,6,10.0,-5.0
American,American,American,2021-01-24,4.5,Loyola MD,0.0,4.0,6.0,0.5707,2,14.0,-2.0
Boston University,Boston University,Boston University,2021-01-24,5.5,Lafayette,0.0,5.0,0.0,0.5631,6,4.0,-3.0
Radford,Radford,Radford,2021-01-24,3.0,UNC Asheville,0.0,2.0,3.0,0.5624,1,-1.0,8.0
Loyola Chicago,Loyola Chicago,Bradley,2021-01-24,-7.5,Bradley,1.0,-8.0,-9.0,0.5603,-7,-0.0,-13.0
Fordham,Fordham,Rhode Island,2021-01-24,17.0,Rhode Island,1.0,19.0,22.0,0.5507,17,21.0,10.0
Nevada,Nevada,Nevada,2021-01-24,-4.0,Wyoming,0.0,-7.0,-9.0,0.5379999999999999,-4,2.0,5.0
Delaware St.,Delaware St.,Morgan St.,2021-01-24,13.5,Morgan St.,1.0,14.0,13.0,0.5197,12,16.0,16.0
Davidson,Davidson,Massachusetts,2021-01-24,-2.5,Massachusetts,1.0,-3.0,-3.0,0.5153,-1,2.0,-9.0
San Diego St.,San Diego St.,San Diego St.,2021-01-24,-16.0,Air Force,0.0,-22.0,-24.0,0.5151,-15,-10.0,-32.0
