away,away_score,date,draft_kings,home,home_score,lasso,linear,predict_kp,rf,score
UMass Lowell,77.0,2021-01-17,-6.0,Binghamton,67.0,-10.0,-11.0,-7,-7.0,-10.0
Coppin St.,89.0,2021-01-17,8.5,Morgan St.,79.0,15.0,19.0,9,22.0,-10.0
Evansville,55.0,2021-01-17,8.5,Bradley,86.0,13.0,16.0,11,9.0,31.0
Tarleton St.,79.0,2021-01-17,12.0,Weber St.,94.0,9.0,8.0,8,5.0,15.0
Norfolk St.,83.0,2021-01-17,-10.0,Delaware St.,79.0,-9.0,-9.0,-10,-7.0,-4.0
Maine,60.0,2021-01-17,18.0,Vermont,88.0,20.0,19.0,17,12.0,28.0
Holy Cross,87.0,2021-01-17,20.0,Colgate,96.0,26.0,23.0,20,28.0,9.0
Florida St.,78.0,2021-01-18,2.5,Louisville,65.0,3.0,3.0,1,-2.0,-13.0
Kansas,69.0,2021-01-18,8.5,Baylor,77.0,13.0,11.0,10,3.0,8.0
St. John's,74.0,2021-01-18,7.0,Connecticut,70.0,14.0,15.0,10,10.0,-4.0
Saint Joseph's,83.0,2021-01-18,2.0,La Salle,90.0,4.0,2.0,2,11.0,7.0
UNC Wilmington,69.0,2021-01-18,-2.0,Towson,72.0,1.0,3.0,-1,-6.0,3.0
Western Carolina,78.0,2021-01-18,-2.0,Samford,82.0,-2.0,-3.0,-2,9.0,4.0
Wyoming,77.0,2021-01-18,-3.0,Air Force,58.0,1.0,3.0,-1,7.0,-19.0
Sacramento St.,70.0,2021-01-18,1.5,Idaho St.,65.0,2.0,6.0,1,-13.0,-5.0
VMI,81.0,2021-01-18,7.5,East Tennessee St.,92.0,8.0,9.0,7,10.0,11.0
Grambling St.,50.0,2021-01-18,5.0,Prairie View A&M,59.0,3.0,6.0,3,3.0,9.0
Arkansas Pine Bluff,48.0,2021-01-18,3.5,Alcorn St.,82.0,4.0,8.0,3,19.0,34.0
New Mexico,46.0,2021-01-18,12.0,UNLV,53.0,16.0,18.0,11,11.0,7.0
The Citadel,73.0,2021-01-18,13.5,UNC Greensboro,87.0,16.0,16.0,14,8.0,14.0
Mississippi Valley St.,61.0,2021-01-18,22.5,Southern,102.0,29.0,33.0,22,14.0,41.0
Alabama,105.0,2021-01-19,1.0,LSU,75.0,3.0,4.0,1,9.0,-30.0
Tennessee,49.0,2021-01-19,-7.0,Florida,75.0,-2.0,-1.0,-3,11.0,26.0
Purdue,67.0,2021-01-19,4.5,Ohio St.,65.0,5.0,6.0,4,5.0,-2.0
Duke,73.0,2021-01-19,-3.5,Pittsburgh,79.0,-4.0,-9.0,-3,7.0,6.0
Mississippi,64.0,2021-01-19,2.5,Mississippi St.,46.0,3.0,2.0,1,3.0,-18.0
South Carolina,70.0,2021-01-19,5.5,Missouri,81.0,3.0,4.0,5,6.0,11.0
Penn St.,65.0,2021-01-19,9.0,Illinois,79.0,12.0,11.0,8,4.0,14.0
Maryland,63.0,2021-01-19,10.0,Michigan,87.0,12.0,11.0,9,14.0,24.0
Miami FL,57.0,2021-01-19,4.5,Syracuse,83.0,6.0,6.0,6,10.0,26.0
Colorado St.,64.0,2021-01-19,8.0,Utah St.,83.0,7.0,5.0,6,6.0,19.0
Butler,67.0,2021-01-19,-0.5,DePaul,53.0,1.0,6.0,2,8.0,-14.0
Buffalo,81.0,2021-01-19,4.0,Kent St.,84.0,3.0,5.0,2,0.0,3.0
Akron,69.0,2021-01-19,5.0,Bowling Green,57.0,5.0,2.0,5,-4.0,-12.0
USC,56.0,2021-01-19,-10.0,Oregon St.,58.0,-12.0,-13.0,-11,-7.0,2.0
Ball St.,71.0,2021-01-19,-3.0,Miami OH,81.0,-2.0,-2.0,-3,-3.0,10.0
UNC Wilmington,74.0,2021-01-19,-1.5,Towson,78.0,3.0,3.0,-1,-6.0,4.0
